City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,college,67.9005,-152.2211,-19.48,94,96,0.79,US,1675898209
80,port hardy,48.186,-129.9631,7.92,90,100,18.07,Unknown,1675898209
81,yellowknife,63.7899,-115.86,-20.99,96,11,1.61,CA,1675898209
82,kedrovyy,58.2946,79.7546,-25.68,100,100,1.84,RU,1675898210
83,kidal,18.8191,0.7912,24.75,14,23,5.56,ML,1675898210
84,carutapera,0.1529,-45.4375,26.43,83,100,6.68,Unknown,1675898210
85,kyra,50.1574,111.2025,-22.91,96,66,1.77,RU,1675898210
86,tombouctou,17.5666,-3.8053,22.86,16,2,5.88,ML,1675898211
87,ixtapa,2.4021,-109.7,25.21,82,70,5.45,Unknown,1675898211
88,bengkulu,-10.6054,92.8225,27.29,75,21,7.16,Unknown,1675898211
89,tanda,8.4856,-3.5146,23.81,79,100,2.1,CI,1675898212
90,batagay,68.0459,136.0604,-45.06,94,64,0.77,RU,1675898212
91,yarega,63.2375,53.6522,-4.14,92,100,5.07,RU,1675898212
92,sinjar,35.5166,41.7068,3.54,67,2,3.71,IQ,1675898213
93,maykop,44.7379,40.1119,-8.94,91,66,5.04,RU,1675898213
94,sao joao da barra,-33.2835,-25.5443,21.38,86,100,2.58,Unknown,1675898213
95,lasa,36.4054,90.4915,-18.18,19,35,2.67,Unknown,1675898214
96,gizo,-7.3996,156.6722,28.49,75,95,4.6,SB,1675898214
97,faanui,-13.3978,-155.6745,27.61,74,2,6.43,Unknown,1675898214
98,cidreira,-46.4616,-30.6873,9.41,68,94,10.21,Unknown,1675898214
99,dingle,50.6542,-22.2847,7.38,66,70,6.45,Unknown,1675898215
100,lebu,-32.1413,-91.0231,22.39,64,100,3.26,Unknown,1675898215
101,maple creek,50.595,-109.6658,-1.49,87,100,5.26,CA,1675898215
102,sorvag,60.5151,-10.7323,4.02,62,100,19.2,Unknown,1675898216
103,kavieng,11.1601,158.1838,26.6,81,100,9.68,Unknown,1675898216
104,ust-kuyga,70.7795,134.5576,-45.7,98,82,1.58,RU,1675898216
105,dumas,36.3207,-101.9024,11.67,33,1,4.19,US,1675898217
106,hobart,-81.3714,142.5206,-31.06,97,34,4.41,Unknown,1675898217
107,husavik,70.5655,-15.846,-8.55,70,100,10.78,Unknown,1675898217
108,upernavik,76.6947,-50.4628,-33.64,99,100,2.29,Unknown,1675898218
109,banda aceh,4.0568,89.873,27.68,78,93,6.59,Unknown,1675898218
110,oktyabrskoye,62.3744,66.0886,-12.86,98,47,3.01,RU,1675898219
111,minbu,20.0941,94.5774,17.15,56,27,1.22,MM,1675898219
112,itoman,21.1465,129.9148,22.58,72,61,7.82,Unknown,1675898220
113,brae,63.2218,-0.0198,4.19,65,99,16.29,Unknown,1675898221
114,torbay,44.6397,-50.5569,2.13,87,100,15.05,Unknown,1675898221
115,fairview,57.3925,-118.6042,-1.25,76,68,4.58,CA,1675898222
116,pedreiras,-4.7448,-44.5873,23.33,95,100,1.36,BR,1675898223
117,vaitupu,0.6111,-175.3186,26.32,85,20,8.46,Unknown,1675898224
118,yunhe,34.5507,118.0185,2.77,88,100,5.22,CN,1675898225
119,mar del plata,-64.16,-26.6418,-0.23,89,100,13.83,Unknown,1675898226
120,amderma,76.8534,60.5279,-6.18,76,100,8.79,Unknown,1675898226
121,thompson,61.1485,-95.5162,-24.26,99,99,2.5,CA,1675898227
122,katsuura,19.955,153.5304,25.71,78,20,6.85,Unknown,1675898227
123,khargapur,24.7718,79.1234,13.59,39,1,1.3,IN,1675898228
124,new norfolk,-58.7328,136.0103,2.41,76,75,9.86,Unknown,1675898230
